layer,unit,description,similarity
layer4,371,kitchens,0.54745483
layer4,372,mating,0.3765869
layer4,373,ironing,0.09490967
layer4,374,hockey,0.35507202
layer4,375,dog,0.18151855
layer4,376,compartment,0.30517578
layer4,377,panel,0.18276978
layer4,378,bridge,0.45385742
layer4,379,gyms,0.27487183
layer4,380,bureau,0.25180054
layer4,381,reef,0.4657898
layer4,382,curtain,0.42721558
layer4,383,bike,0.55081177
layer4,384,closet,0.6114197
layer4,385,buses,0.65667725
layer4,386,depot,0.24267578
layer4,387,barn,0.2019043
layer4,388,tables,0.44836426
layer4,389,castles,0.3826294
layer4,390,yellowstone,0.31271362
layer4,391,exhibits,0.14141846
layer4,392,dogs,0.15719604
layer4,393,purchasing,0.1265564
layer4,394,attic,0.56814575
layer4,395,dashboard,0.16864014
layer4,396,musicians,0.19424438
layer4,397,window,0.36691284
layer4,398,ladder,0.20953369
layer4,399,florists,0.36465454
layer4,400,listings,0.4845581
layer4,401,exterior,0.20651245
layer4,402,trains,0.17929077
layer4,403,namibia,0.28170776
layer4,404,grandchildren,0.20458984
layer4,405,boxing,0.20025635
layer4,406,excavation,0.17730713
layer4,407,robe,0.1694336
layer4,408,corridor,0.3713379
layer4,409,flooring,0.26104736
layer4,410,snowboarding,0.43722534
layer4,411,creme,0.12496948
layer4,412,compressor,0.22293091
layer4,413,mosque,0.71307373
layer4,414,hypnosis,0.17611694
layer4,415,textile,0.26538086
layer4,416,beach,0.38232422
layer4,417,culinary,0.33081055
layer4,418,furnished,0.45611572
layer4,419,bathroom,0.2849121
layer4,420,cabinets,0.571228
layer4,421,seats,0.3921814
layer4,422,caves,0.34326172
layer4,423,watersports,0.3356018
layer4,424,portrait,0.1713562
layer4,425,bureau,0.39956665
layer4,426,bakery,0.28286743
layer4,427,juvenile,0.18032837
layer4,428,pavement,0.16516113
layer4,429,comforter,0.24975586
layer4,430,nursery,0.40164185
layer4,431,laboratories,0.20565796
layer4,432,attic,0.8062439
layer4,433,restaurant,0.3223877
layer4,434,aircraft,0.34646606
layer4,435,pink,0.27441406
layer4,436,musicians,0.2564392
layer4,437,aircraft,0.4708557
layer4,438,darkness,0.20178223
layer4,439,chef,0.56292725
layer4,440,underwater,0.24197388
layer4,441,warehousing,0.23388672
layer4,442,bedrooms,0.3814392
layer4,443,thistle,0.45404053
layer4,444,automotive,0.2498169
layer4,445,billiards,0.48495483
layer4,446,shops,0.27227783
layer4,447,harbour,0.33233643
layer4,448,female,0.2868042
layer4,449,canal,0.3937378
layer4,450,aircraft,0.27279663
layer4,451,wildlife,0.21466064
layer4,452,glacier,0.23538208
layer4,453,chevrolet,0.46694946
layer4,454,bamboo,0.2911377
layer4,455,street,0.2775879
layer4,456,kitchens,0.7185974
layer4,457,dog,0.25546265
layer4,458,juvenile,0.30795288
layer4,459,dams,0.24899292
layer4,460,planting,0.21176147
layer4,461,closet,0.27993774
layer4,462,snowmobile,0.38220215
layer4,463,tackle,0.11831665
layer4,464,intersection,0.2779541
layer4,465,bedrooms,0.46347046
layer4,466,scoreboard,0.28048706
layer4,467,swimming,0.5093689
layer4,468,volleyball,0.43719482
layer4,469,bowling,0.3100586
layer4,470,musicians,0.35281372
layer4,471,reconstruction,0.21713257
layer4,472,chromatography,0.16699219
layer4,473,juvenile,0.25131226
layer4,474,locker,0.41918945
layer4,475,ruins,0.2236023
layer4,476,workstations,0.7200012
layer4,477,buildings,0.34994507
layer4,478,compartment,0.34957886
layer4,479,seats,0.31134033
layer4,480,harbour,0.23007202
layer4,481,juvenile,0.3232727
layer4,482,dog,0.33224487
layer4,483,kayaking,0.3857422
layer4,484,ordered,0.17730713
layer4,485,street,0.48687744
layer4,486,snorkeling,0.33581543
layer4,487,crowd,0.19921875
layer4,488,performing,0.26965332
layer4,489,fruits,0.48080444
layer4,490,billiards,0.36776733
layer4,491,buses,0.34350586
layer4,492,textile,0.17080688
layer4,493,female,0.35647583
layer4,494,lifting,0.19485474
layer4,495,closet,0.36099243
layer4,496,kernels,0.30297852
layer4,497,onboard,0.2803955
layer4,498,kitchen,0.28408813
layer4,499,sofas,0.4022827
layer4,500,cemetery,0.24685669
layer4,501,amarillo,0.17678833
layer4,502,bookshelf,0.5600586
layer4,503,yellowstone,0.6336975
layer4,504,performing,0.23764038
layer4,505,jacuzzi,0.20004272
layer4,506,dresser,0.15356445
layer4,507,infant,0.2633667
layer4,508,cassettes,0.4371643
layer4,509,corrosion,0.2163086
layer4,510,dams,0.31652832
layer4,511,bldg,0.24850464
